Tanggal,RH_avg
12-09-2012,76
13-09-2012,78
14-09-2012,78
15-09-2012,79
16-09-2012,81
17-09-2012,84
18-09-2012,76
19-09-2012,75
20-09-2012,81
21-09-2012,76
22-09-2012,80
23-09-2012,80
24-09-2012,84
25-09-2012,80
26-09-2012,80
27-09-2012,76
28-09-2012,84
29-09-2012,77
30-09-2012,80
01-10-2012,81
02-10-2012,80
03-10-2012,80
04-10-2012,86
05-10-2012,82
06-10-2012,86
07-10-2012,85
08-10-2012,85
09-10-2012,83
10-10-2012,85
11-10-2012,79
12-10-2012,80
13-10-2012,86
14-10-2012,86
15-10-2012,82
16-10-2012,86
17-10-2012,82
18-10-2012,82
19-10-2012,82
20-10-2012,80
21-10-2012,77
22-10-2012,84
23-10-2012,84
24-10-2012,77
25-10-2012,82
26-10-2012,94
27-10-2012,84
28-10-2012,80
29-10-2012,78
30-10-2012,80
31-10-2012,89
01-11-2012,82
02-11-2012,82
03-11-2012,82
04-11-2012,83
05-11-2012,81
06-11-2012,81
07-11-2012,77
08-11-2012,80
09-11-2012,82
10-11-2012,80
11-11-2012,85
12-11-2012,82
13-11-2012,82
14-11-2012,78
15-11-2012,78
16-11-2012,75
17-11-2012,82
18-11-2012,77
19-11-2012,85
20-11-2012,84
21-11-2012,88
22-11-2012,80
23-11-2012,82
24-11-2012,86
25-11-2012,82
26-11-2012,83
27-11-2012,83
28-11-2012,86
29-11-2012,83
30-11-2012,81
01-12-2012,81
02-12-2012,82
03-12-2012,82
04-12-2012,79
05-12-2012,78
06-12-2012,78
07-12-2012,82
08-12-2012,77
09-12-2012,88
10-12-2012,84
11-12-2012,86
12-12-2012,84
13-12-2012,81
14-12-2012,80
15-12-2012,80
16-12-2012,83
17-12-2012,84
18-12-2012,88
19-12-2012,91
20-12-2012,88
21-12-2012,83
22-12-2012,83
23-12-2012,85
24-12-2012,84
25-12-2012,82
26-12-2012,85
27-12-2012,85
28-12-2012,81
29-12-2012,80
30-12-2012,78
31-12-2012,84
01-01-2013,82
03-01-2013,88
04-01-2013,84
05-01-2013,85
06-01-2013,79
07-01-2013,87
08-01-2013,77
09-01-2013,82
10-01-2013,80
11-01-2013,79
12-01-2013,78
13-01-2013,80
14-01-2013,79
15-01-2013,77
16-01-2013,80
17-01-2013,75
18-01-2013,72
19-01-2013,77
20-01-2013,84
21-01-2013,85
22-01-2013,84
23-01-2013,83
24-01-2013,81
25-01-2013,80
26-01-2013,80
27-01-2013,80
28-01-2013,79
29-01-2013,85
30-01-2013,82
31-01-2013,77
01-02-2013,88
02-02-2013,83
03-02-2013,80
04-02-2013,83
05-02-2013,81
06-02-2013,91
07-02-2013,76
08-02-2013,78
09-02-2013,81
10-02-2013,79
11-02-2013,74
12-02-2013,79
13-02-2013,90
14-02-2013,81
15-02-2013,80
16-02-2013,80
17-02-2013,88
18-02-2013,81
19-02-2013,80
20-02-2013,79
21-02-2013,82
22-02-2013,72
23-02-2013,72
24-02-2013,81
25-02-2013,86
26-02-2013,83
27-02-2013,76
28-02-2013,83
01-03-2013,83
02-03-2013,79
03-03-2013,83
04-03-2013,85
05-03-2013,79
06-03-2013,80
07-03-2013,73
08-03-2013,75
09-03-2013,85
10-03-2013,76
11-03-2013,77
12-03-2013,78
13-03-2013,74
14-03-2013,74
15-03-2013,79
16-03-2013,79
17-03-2013,73
18-03-2013,78
19-03-2013,73
20-03-2013,73
21-03-2013,76
22-03-2013,79
23-03-2013,78
24-03-2013,90
25-03-2013,79
26-03-2013,74
27-03-2013,76
28-03-2013,73
29-03-2013,76
30-03-2013,71
31-03-2013,73
01-04-2013,82
02-04-2013,81
03-04-2013,80
04-04-2013,79
05-04-2013,77
06-04-2013,87
07-04-2013,78
08-04-2013,79
09-04-2013,76
10-04-2013,75
11-04-2013,83
12-04-2013,74
13-04-2013,78
14-04-2013,84
15-04-2013,79
16-04-2013,77
17-04-2013,75
18-04-2013,76
19-04-2013,80
20-04-2013,75
21-04-2013,77
22-04-2013,73
23-04-2013,77
24-04-2013,86
25-04-2013,76
26-04-2013,79
27-04-2013,80
28-04-2013,82
29-04-2013,82
30-04-2013,77
01-05-2013,82
02-05-2013,89
03-05-2013,81
04-05-2013,82
05-05-2013,75
06-05-2013,83
07-05-2013,80
08-05-2013,79
09-05-2013,83
10-05-2013,78
11-05-2013,67
12-05-2013,66
13-05-2013,71
14-05-2013,75
15-05-2013,78
16-05-2013,77
17-05-2013,82
18-05-2013,83
19-05-2013,80
20-05-2013,82
21-05-2013,81
22-05-2013,73
23-05-2013,77
24-05-2013,75
25-05-2013,75
26-05-2013,83
27-05-2013,70
28-05-2013,79
29-05-2013,73
30-05-2013,73
31-05-2013,67
01-06-2013,66
02-06-2013,69
03-06-2013,74
04-06-2013,74
05-06-2013,73
06-06-2013,73
07-06-2013,68
08-06-2013,77
09-06-2013,80
10-06-2013,75
11-06-2013,75
12-06-2013,68
13-06-2013,72
14-06-2013,73
15-06-2013,71
16-06-2013,81
17-06-2013,68
19-06-2013,66
22-06-2013,71
23-06-2013,68
24-06-2013,72
25-06-2013,73
26-06-2013,79
27-06-2013,84
28-06-2013,69
29-06-2013,68
30-06-2013,72
01-07-2013,76
02-07-2013,81
03-07-2013,82
04-07-2013,84
05-07-2013,79
06-07-2013,74
07-07-2013,77
08-07-2013,76
09-07-2013,81
10-07-2013,78
11-07-2013,77
12-07-2013,79
13-07-2013,68
14-07-2013,82
15-07-2013,75
16-07-2013,85
17-07-2013,78
18-07-2013,78
19-07-2013,76
20-07-2013,70
21-07-2013,70
22-07-2013,71
23-07-2013,68
24-07-2013,74
25-07-2013,75
26-07-2013,87
27-07-2013,77
28-07-2013,79
29-07-2013,71
30-07-2013,70
31-07-2013,80
01-08-2013,73
02-08-2013,67
05-08-2013,71
06-08-2013,73
07-08-2013,83
08-08-2013,76
09-08-2013,71
10-08-2013,81
11-08-2013,79
12-08-2013,79
13-08-2013,81
14-08-2013,74
15-08-2013,75
16-08-2013,80
17-08-2013,79
18-08-2013,84
19-08-2013,78
20-08-2013,72
21-08-2013,67
22-08-2013,72
23-08-2013,74
24-08-2013,73
25-08-2013,76
26-08-2013,91
27-08-2013,77
28-08-2013,87
29-08-2013,78
30-08-2013,79
31-08-2013,80
01-09-2013,74
02-09-2013,74
03-09-2013,74
04-09-2013,74
05-09-2013,74
06-09-2013,74
07-09-2013,74
08-09-2013,74
09-09-2013,74
10-09-2013,74
11-09-2013,74
12-09-2013,74
13-09-2013,74
14-09-2013,74
15-09-2013,74
16-09-2013,74
17-09-2013,74
18-09-2013,74
19-09-2013,74
20-09-2013,74
21-09-2013,74
22-09-2013,74
23-09-2013,74
24-09-2013,74
25-09-2013,74
26-09-2013,74
27-09-2013,74
28-09-2013,74
29-09-2013,74
30-09-2013,74
01-10-2013,74
02-10-2013,74
03-10-2013,74
04-10-2013,74
05-10-2013,74
06-10-2013,74
07-10-2013,74
08-10-2013,74
09-10-2013,74
10-10-2013,74
11-10-2013,74
12-10-2013,74
13-10-2013,74
14-10-2013,74
15-10-2013,74
16-10-2013,74
17-10-2013,74
18-10-2013,74
19-10-2013,74
20-10-2013,74
21-10-2013,74
22-10-2013,74
23-10-2013,74
24-10-2013,74
25-10-2013,74
26-10-2013,74
27-10-2013,74
28-10-2013,74
29-10-2013,74
30-10-2013,74
31-10-2013,89
01-11-2013,84
02-11-2013,83
03-11-2013,82
04-11-2013,84
05-11-2013,74
06-11-2013,82
07-11-2013,79
08-11-2013,83
09-11-2013,72
10-11-2013,81
11-11-2013,77
12-11-2013,85
13-11-2013,81
14-11-2013,76
15-11-2013,77
16-11-2013,76
17-11-2013,82
18-11-2013,71
19-11-2013,80
20-11-2013,87
21-11-2013,73
22-11-2013,79
23-11-2013,80
24-11-2013,73
25-11-2013,78
26-11-2013,78
27-11-2013,71
28-11-2013,80
29-11-2013,77
30-11-2013,80
01-12-2013,84
02-12-2013,87
03-12-2013,88
04-12-2013,83
05-12-2013,79
06-12-2013,90
07-12-2013,90
08-12-2013,74
09-12-2013,74
10-12-2013,74
11-12-2013,74
12-12-2013,74
13-12-2013,74
14-12-2013,74
15-12-2013,74
16-12-2013,74
17-12-2013,74
18-12-2013,74
19-12-2013,74
20-12-2013,74
21-12-2013,74
22-12-2013,74
23-12-2013,74
24-12-2013,74
25-12-2013,74
26-12-2013,74
27-12-2013,74
28-12-2013,74
29-12-2013,95
30-12-2013,74
31-12-2013,74
01-01-2014,74
02-01-2014,74
03-01-2014,74
04-01-2014,74
05-01-2014,74
06-01-2014,74
07-01-2014,74
08-01-2014,74
09-01-2014,74
10-01-2014,74
11-01-2014,74
12-01-2014,74
13-01-2014,74
14-01-2014,74
15-01-2014,74
16-01-2014,74
17-01-2014,74
18-01-2014,74
19-01-2014,79
20-01-2014,70
21-01-2014,71
22-01-2014,68
23-01-2014,68
24-01-2014,72
25-01-2014,72
26-01-2014,72
27-01-2014,81
28-01-2014,73
29-01-2014,65
30-01-2014,77
31-01-2014,70
01-02-2014,73
02-02-2014,63
03-02-2014,72
04-02-2014,68
05-02-2014,72
06-02-2014,71
07-02-2014,77
08-02-2014,79
09-02-2014,78
10-02-2014,76
11-02-2014,74
12-02-2014,74
13-02-2014,74
14-02-2014,75
15-02-2014,71
16-02-2014,72
17-02-2014,69
18-02-2014,74
19-02-2014,75
20-02-2014,84
21-02-2014,81
22-02-2014,88
23-02-2014,87
24-02-2014,77
25-02-2014,77
26-02-2014,72
27-02-2014,69
28-02-2014,74
01-03-2014,77
02-03-2014,77
03-03-2014,85
04-03-2014,88
05-03-2014,74
06-03-2014,72
07-03-2014,75
08-03-2014,72
09-03-2014,76
10-03-2014,70
11-03-2014,76
12-03-2014,71
13-03-2014,72
14-03-2014,71
15-03-2014,80
16-03-2014,85
17-03-2014,77
18-03-2014,78
19-03-2014,77
20-03-2014,78
21-03-2014,74
22-03-2014,75
23-03-2014,75
24-03-2014,72
25-03-2014,71
26-03-2014,75
27-03-2014,78
28-03-2014,81
29-03-2014,82
30-03-2014,76
31-03-2014,82
01-04-2014,85
02-04-2014,76
